ID,SKU,Seal Type,Material,Temp,Pressure,Description,ID,OD,L,HT,CS
33193,PS2027-32,Nylon Step Cut Piston Seals,Glass Filled PTFE Seal   Rubber Energizer,-40 to +220 F,"0-5,000 PSI",Some PS2000 Piston seals utilize a round instead of a square energizer.,1.46,2,0,0.269,0.087
33195,PS2027-32,Nylon Step Cut Piston Seals,Glass Filled PTFE Seal   Rubber Energizer,-40 to +220 F,"0-5,000 PSI",Some PS2000 Piston seals utilize a round instead of a square energizer.,1.46,2,0,0.269,0.087
33338,PSA-65-1250,Piston Seals,Nitrile Seal    Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-3,000 PSI","Compact and easy to install, the style PSA-65 piston seal is simple and economical design for pressures up to 3,000 PSI. The assembly consists of Nitrile rubber seal and 2 poly acetyl bearings to support the piston. For 1-piece piston.",0.94,1.25,0,0.34,0
33412,PSA-65-1250,Piston Seals,Nitrile Seal    Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-3,000 PSI","Compact and easy to install, the style PSA-65 piston seal is simple and economical design for pressures up to 3,000 PSI. The assembly consists of Nitrile rubber seal and 2 poly acetyl bearings to support the piston. For 1-piece piston.",0.94,1.25,0,0.34,0
33414,PSA-65-1250,Piston Seals,Nitrile Seal    Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-3,000 PSI","Compact and easy to install, the style PSA-65 piston seal is simple and economical design for pressures up to 3,000 PSI. The assembly consists of Nitrile rubber seal and 2 poly acetyl bearings to support the piston. For 1-piece piston.",0.94,1.25,0,0.34,0
33290,PSA-58-10000,Piston Seals,Fabric Reinforced Nitrile Seal    Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-5,000 PSI","Style PSA-58 piston seals combine a heavy duty, fabric reinforced seal with two poly acetyl ""L"" bearings. This construction allows the seal to withstand pressures up to 5,000 PSI. ""L"" bearings also react to pressure to prevent extrusion and support the piston. For 2-Piece piston.",9,1,0,1.25,0
33322,PSA-59-1500,Piston Seals,Fabric Reinforced Nitrile Seal    Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-5,000 PSI",This style is designed for 2-piece piston. The seal is a molded Nitrile rubber element with bonded rubberized fabric reinforcement and 2 anti-extrusion poly acetyl bearings.,1,1.5,0,0.63,0
33389,PSA-59-1500,Piston Seals,Fabric Reinforced Nitrile Seal    Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-5,000 PSI",This style is designed for 2-piece piston. The seal is a molded Nitrile rubber element with bonded rubberized fabric reinforcement and 2 anti-extrusion poly acetyl bearings.,1,1.5,0,0.63,0
33391,PSA-59-1500,Piston Seals,Fabric Reinforced Nitrile Seal    Poly acetyl Anti-Extrusion Ring,-22 to +212 F,"0-5,000 PSI",This style is designed for 2-piece piston. The seal is a molded Nitrile rubber element with bonded rubberized fabric reinforcement and 2 anti-extrusion poly acetyl bearings.,1,1.5,0,0.63,0
29440,PU18-0.75-31,Urethane Piston U-Seal,90A Urethane,-40 to +225 F,"0-5,000 PSI",Style PU seals are molded from high quality urethane and designed specifically for piston applications.,0.75,1.13,0,0.31,0.19
29442,PU18-0.75-31,Urethane Piston U-Seal,90A Urethane,-40 to +225 F,"0-5,000 PSI",Style PU seals are molded from high quality urethane and designed specifically for piston applications.,0.75,1.13,0,0.31,0.19
